은행코드,은행명,상품코드,상품명,상품일련번호,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,통장거치식_신규가입금액_단위,적립식_월부금_단위,상품개요_설명,신규채널,해지채널,상품그룹코드,상품그룹명,예금입출금방식,만기여부,이자지급방법,이자계산방법,적립식_부금납입방식,적립식_부금납입주기,적립식_부금금액한도_여부,적립식_부금금액한도_조건,가입대상고객_조건여부,가입대상고객_조건,가입제한_조건여부,가입제한_조건,기본금리,예금자보호대상여부,판매한도금액,만기후이율,중도해지이율,세제혜택_비과세종합저축_여부,세제혜택_비과세종합저축_조건,회전식_정기예금_여부,회전식_정기예금_회전주기_개월수,기타_상품가입_고려사항,추가내용,우대금리조건여부,우대금리조건_개수,최대우대금리,우대금리조건_고객예금실적_여부,우대금리조건_고객예금실적_조건,우대금리조건_고객예금실적_우대금리,우대금리조건_우수고객우대제도_여부,우대금리조건_우수고객우대제도_조건,우대금리조건_우수고객우대제도_우대금리,우대금리조건_가입금액우대_여부,우대금리조건_가입금액우대_조건,우대금리조건_가입금액우대_우대금리,우대금리조건_아파트관리비이체_여부,우대금리조건_아파트관리비이체_조건,우대금리조건_아파트관리비이체_우대금리,우대금리조건_공과금이체_여부,우대금리조건_공과금이체_조건,우대금리조건_공과금이체_우대금리,우대금리조건_급여이체_여부,우대금리조건_급여이체_조건,우대금리조건_급여이체_우대금리,우대금리조건_예금자동이체_여부,우대금리조건_예금자동이체_여부_조건,우대금리조건_예금자동이체_우대금리,우대금리조건_보험료자동이체_여부,우대금리조건_보험료자동이체_여부_조건,우대금리조건_보험료자동이체_우대금리,우대금리조건_연금자동이체_여부,우대금리조건_연금자동이체_여부_조건,우대금리조건_연금자동이체_우대금리,우대금리조건_신용카드가맹점결제계좌_여부,우대금리조건_신용카드가맹점결제계좌_조건,우대금리조건_신용카드가맹점결제계좌_우대금리,우대금리조건_신용카드결제계좌_여부,우대금리조건_신용카드결제계좌_조건,우대금리조건_신용카드결제계좌_우대금리,우대금리조건_신용카드사용금액_여부,우대금리조건_신용카드사용금액_조건,우대금리조건_신용카드사용금액_우대금리,우대금리조건_체크카드연계_여부,우대금리조건_체크카드연계_조건,우대금리조건_체크카드연계_우대금리,우대금리조건_제휴카드연계_여부,우대금리조건_제휴카드연계_조건,우대금리조건_제휴카드연계_우대금리,우대금리조건_재유치_여부,우대금리조건_재유치_조건,우대금리조건_재유치_우대금리,우대금리조건_카드사용실적_여부,우대금리조건_카드사용실적_조건,우대금리조건_카드사용실적_우대금리,우대금리조건_퇴직금예치_여부,우대금리조건_퇴직금예치_조건,우대금리조건_퇴직금예치_우대금리,우대금리조건_고객특성우대_여부,우대금리조건_고객특성우대_조건,우대금리조건_고객특성우대_우대금리,우대금리조건_장병우대_여부,우대금리조건_장병우대_조건,우대금리조건_장병우대_우대금리,우대금리조건_농어민우대_여부,우대금리조건_농어민우대_조건,우대금리조건_농어민우대_우대금리,우대금리조건_어린이우대_여부,우대금리조건_어린이우대_조건,우대금리조건_어린이우대_우대금리,우대금리조건_학생우대_여부,우대금리조건_학생우대_조건,우대금리조건_학생우대_우대금리,우대금리조건_첫거래우대_여부,우대금리조건_첫거래우대_조건,우대금리조건_첫거래우대_우대금리,우대금리조건_고객연령우대_여부,우대금리조건_고객연령우대_조건,우대금리조건_고객연령우대_우대금리,우대금리조건_비대면채널_여부,우대금리조건_비대면채널_조건,우대금리조건_비대면채널_우대금리,우대금리조건_인터넷뱅킹_여부,우대금리조건_인터넷뱅킹_조건,우대금리조건_인터넷뱅킹_우대금리,우대금리조건_모바일뱅킹_여부,우대금리조건_모바일뱅킹_조건,우대금리조건_모바일뱅킹_우대금리,우대금리조건_모바일앱_여부,우대금리조건_모바일앱_조건,우대금리조건_모바일앱_우대금리,우대금리조건_오픈뱅킹_여부,우대금리조건_오픈뱅킹_조건,우대금리조건_오픈뱅킹_우대금리,우대금리조건_마이데이터_여부,우대금리조건_마이데이터_조건,우대금리조건_마이데이터_우대금리,우대금리조건_상품미보유_여부,우대금리조건_상품미보유_조건,우대금리조건_상품미보유_우대금리,우대금리조건_만기금액우대_여부,우대금리조건_만기금액우대_조건,우대금리조건_만기금액우대_우대금리,우대금리조건_마케팅활용동의_여부,우대금리조건_마케팅활용동의_조건,우대금리조건_마케팅활용동의_우대금리,우대금리조건_위치인증_여부,우대금리조건_위치인증_조건,우대금리조건_위치인증_우대금리,우대금리조건_기타1_여부,우대금리조건_기타1_조건,우대금리조건_기타1_우대금리,우대금리조건_기타2_여부,우대금리조건_기타2_조건,우대금리조건_기타2_우대금리,우대금리조건_기타3_여부,우대금리조건_기타3_조건,우대금리조건_기타3_우대금리,우대금리조건_기타4_여부,우대금리조건_기타4_조건,우대금리조건_기타4_우대금리,우대금리조건_기타5_여부,우대금리조건_기타5_조건,우대금리조건_기타5_우대금리
A17,웰컴저축은행,A17-00019,WELCOME 체크플러스2 정기적금,1,12개월 이상,24개월미만,제한없음,제한없음,제한없음,월10만원이상,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,50만원이하,있음,실명의 개인(1인 1계좌),없음,,2.8,Y,,"신규 가입 당시 영업점 및 인터넷 홈페이지에 고시된 경과기간별 만기후금리 적용
1개월이하 -가입 당시 약정금리나 만기시점 동일상품·계약기간(없을 시, 가입 당시 약정금리) 신규 약정금리 중 낮은 금리
1개월 초과- 가입 당시 영업점 및 인터넷 홈페이지에 고시된 만기 후 1개월 초과 시 금리","신규가입 당시 영업점 및 인터넷 홈페이지에 고시된 예치기간에 따른 중도해지금리 적용
예치기간 중도해지금리
약정기간의 80% 이상 약정금리의 90%
약정기간의 60% 이상 약정금리의 70%
약정기간의 40% 이상 약정금리의 50%
약정기간의 20% 이상 약정금리의 30%
약정기간의 20% 미만 약정금리의 10%
계약일로부터 1개월 미만 0.1%
전구간 0.1% 보장",Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, 
? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"월평균 체크카드 이용실적 10만원 이상 30만원 미만: 1.4%
 월평균 체크카드 이용실적 30만원 이상 50만원 미만 :1.8%
월평균 체크카드 이용실적 50만원이상     :2.2%",2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"12개월 이상 인터넷뱅킹, 모바일뱅킹으로 가입 시 우대금리 0.1%p 적용",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,웰컴저축은행,A17-00019,WELCOME 체크플러스2 정기적금,2,24개월,24개월,제한없음,제한없음,제한없음,월10만원이상,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,50만원이하,있음,실명의 개인,없음,,3.0,Y,,"신규 가입 당시 영업점 및 인터넷 홈페이지에 고시된 경과기간별 만기후금리 적용
1개월이하 -가입 당시 약정금리나 만기시점 동일상품·계약기간(없을 시, 가입 당시 약정금리) 신규 약정금리 중 낮은 금리
1개월 초과- 가입 당시 영업점 및 인터넷 홈페이지에 고시된 만기 후 1개월 초과 시 금리","신규가입 당시 영업점 및 인터넷 홈페이지에 고시된 예치기간에 따른 중도해지금리 적용
예치기간 중도해지금리
약정기간의 80% 이상 약정금리의 90%
약정기간의 60% 이상 약정금리의 70%
약정기간의 40% 이상 약정금리의 50%
약정기간의 20% 이상 약정금리의 30%
약정기간의 20% 미만 약정금리의 10%
계약일로부터 1개월 미만 0.1%
전구간 0.1% 보장",Y,"만 65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 기초생활보장수급자, 
? 가입대상 : 국가유공자증에 의한 상이자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,Y,2.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"월평균 체크카드 이용실적 10만원 이상 30만원 미만: 1.4%
 월평균 체크카드 이용실적 30만원 이상 50만원 미만 :1.8%
월평균 체크카드 이용실적 50만원이상     :2.2%",2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"12개월 이상 인터넷뱅킹, 모바일뱅킹으로 가입 시 우대금리 0.1%p 적용",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,수협은행,007-00019,Real통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,가입이 간편한 입출금 통장,"1:영업점, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,실명의 개인,없음,,0.1,Y,,해당사항 없음,해당사항 없음,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,예가람저축은행,A16-00005,표지어음,2,60일 이상,89일 이하,제한없음,제한없음,제한없음(원단위),제한없음,단기 여유자금 운영에 유리하며 단기간내에 높은 수익률을 보장하는 예금,1:영업점,1:영업점,1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,있음,비거주 외국인,1.0,Y,,,"3개월 미만 : 0.20%
12개월 미만 : 0.50%",N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,광주은행,034-00014,KJB주택연금 지킴이 통장,1,제한없음,제한없음,제한없음,제한없음,0원 이상,제한없음,당행 주택연금 수급고객에게 연금보호전용통장& 각종 수수료면제서비스 제공!,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,“주택금융공사법”에서 정한 당행 주택연금을 수령하는 실명의 개인(1인 1계좌),없음,,0.01,Y,,,,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00002,BNK취업이룸 통장,1,제한없음,제한없음,0원,0원,'0원' 통장으로만 가입 가능,제한없음,구직촉진수당 등 수급자 전용 압류방지 통장,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,고용노동부의 구직촉진수당 등을 수령하는 실명의 개인(1인 1계좌),없음,,0.01,Y,,,,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00029,BNK모바일입출금통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,"은행 방문없이 모바일뱅킹, 모바일웹을 통하여 계좌개설이 가능한 입출금이 자유 로운 통장","3:스마트뱅킹, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,만17세 이상 국민인 거주자,없음,,0.01,Y,,,,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00055,환매조건부매도,4,181일 이상,364일 이하,5백만원,제한없음,5백만원 이상 원단위,제한없음,"은행이 보유한 국.공채 등 채권을 고객에게 판매하고 일정기간 
경과후 소정의 이자를 가산하여 은행이 다시 매입하는 투자방법",1:영업점,1:영업점,1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,없음,,있음,투자매매업자 불가,2.4,N,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,OK저축은행,A05-00003,OK비대면보통예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,1억 원까지 높은 금리가 적용되는 입출금예금상품,3:스마트뱅킹,"1:영업점, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,개인(1인1계좌),없음,,1.0,Y,,,,N,,,,,,Y,1.0,1.5,Y,잔액 1억 이하,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A23,하나저축,A23-00001,하나플러스+보통예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,자유롭게 입출금 할 수 있는 예금상품으로 기본금리에 더하여 우대금리를 지급하는 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,없음,,없음,,1.3,Y,,해당사항없음,해당사항없음,Y,"가입대상 : 만65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족
또는 가족, 국가유공자증에 의한 상이자, 기초생활보장수급자, 고엽제후유의환자,5.18민주화 운동
부상자",,,,,Y,2.0,0.3,Y,매월말 잔액 구간별 차등 적용,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,당 저축은행 APP을 통한 신용정보조회서비스 이용,,,,,,,,,,,,,
