,은행코드,은행명,bank_code_labeled
0,A17,웰컴저축은행,0
1,A17,웰컴저축은행,0
2,007,수협은행,1
3,A16,예가람저축은행,2
4,034,광주은행,3
5,032,부산은행,4
6,039,경남은행,5
7,032,부산은행,4
8,A05,OK저축은행,6
9,A23,하나저축,7
10,007,수협은행,1
11,D07,머스트삼일저축은행,8
12,088,신한은행,9
13,088,신한은행,9
14,011,농협은행,10
15,088,신한은행,9
16,032,부산은행,4
17,032,부산은행,4
18,011,농협은행,10
19,088,신한은행,9
20,007,수협은행,1
21,007,수협은행,1
22,007,수협은행,1
23,A09,The-K 저축은행,11
24,A11,HB 저축은행,12
25,A11,HB 저축은행,12
26,A19,다올 저축은행,13
27,A19,다올 저축은행,13
28,A19,다올 저축은행,13
29,011,농협은행,10
30,034,광주은행,3
31,032,부산은행,4
32,007,수협은행,1
33,007,수협은행,1
34,007,수협은행,1
35,034,광주은행,3
36,032,부산은행,4
37,032,부산은행,4
38,032,부산은행,4
39,088,신한은행,9
40,A15,애큐온저축은행,14
41,A09,The-K 저축은행,11
42,A15,애큐온저축은행,14
43,A14,신한저축은행,15
44,020,우리은행,16
45,088,신한은행,9
46,D05,드림저축은행,17
47,A16,예가람저축은행,2
48,034,광주은행,3
49,088,신한은행,9
50,034,광주은행,3
51,D02,대백저축은행,18
52,D05,드림저축은행,17
53,003,기업은행,19
54,034,광주은행,3
55,034,광주은행,3
56,088,신한은행,9
57,A15,애큐온저축은행,14
58,011,농협은행,10
59,011,농협은행,10
60,D08,엠에스저축은행,20
61,032,부산은행,4
62,Z03,카카오뱅크,21
63,A05,OK저축은행,6
64,E05,센트럴저축은행,22
65,A06,OSB저축은행,23
66,A03,KB저축은행,24
67,004,국민은행,25
68,E04,삼호저축은행,26
69,003,기업은행,19
70,020,우리은행,16
71,020,우리은행,16
72,004,국민은행,25
73,020,우리은행,16
74,011,농협은행,10
75,011,농협은행,10
76,037,전북은행,27
77,088,신한은행,9
78,088,신한은행,9
79,020,우리은행,16
80,039,경남은행,5
81,A03,KB저축은행,24
82,039,경남은행,5
83,A03,KB저축은행,24
84,039,경남은행,5
85,032,부산은행,4
86,032,부산은행,4
87,004,국민은행,25
88,031,대구은행,28
89,039,경남은행,5
90,D05,드림저축은행,17
91,C10,조흥저축은행,29
92,A15,애큐온저축은행,14
93,032,부산은행,4
94,032,부산은행,4
95,004,국민은행,25
96,004,국민은행,25
97,004,국민은행,25
98,D05,드림저축은행,17
99,032,부산은행,4
100,032,부산은행,4
101,032,부산은행,4
102,A06,OSB저축은행,23
103,032,부산은행,4
104,A06,OSB저축은행,23
105,A10,민국저축은행,30
106,A06,OSB저축은행,23
107,A06,OSB저축은행,23
108,B01,JT저축은행,31
109,A10,민국저축은행,30
110,A10,민국저축은행,30
111,A06,OSB저축은행,23
112,088,신한은행,9
113,B01,JT저축은행,31
114,F05,오투저축은행,32
115,B01,JT저축은행,31
116,F02,상상인플러스저축은행,33
117,A10,민국저축은행,30
118,F02,상상인플러스저축은행,33
119,032,부산은행,4
120,003,기업은행,19
121,088,신한은행,9
122,088,신한은행,9
123,B02,금화저축은행,34
124,B02,금화저축은행,34
125,007,수협은행,1
126,B03,남양저축은행,35
127,B05,부림저축은행,36
128,007,수협은행,1
129,B03,남양저축은행,35
130,071,우체국,37
131,B05,부림저축은행,36
132,B05,부림저축은행,36
133,B05,부림저축은행,36
134,B05,부림저축은행,36
135,B05,부림저축은행,36
136,003,기업은행,19
137,003,기업은행,19
138,071,우체국,37
139,003,기업은행,19
140,003,기업은행,19
141,003,기업은행,19
142,031,대구은행,28
143,003,기업은행,19
144,D07,머스트삼일저축은행,8
145,071,우체국,37
146,032,부산은행,4
147,032,부산은행,4
148,032,부산은행,4
149,032,부산은행,4
150,032,부산은행,4
151,032,부산은행,4
152,A22,푸른저축,38
153,032,부산은행,4
154,032,부산은행,4
155,032,부산은행,4
156,032,부산은행,4
157,032,부산은행,4
158,003,기업은행,19
159,A17,웰컴저축은행,0
160,A22,푸른저축,38
161,A22,푸른저축,38
162,003,기업은행,19
163,032,부산은행,4
164,032,부산은행,4
165,032,부산은행,4
166,032,부산은행,4
167,032,부산은행,4
168,003,기업은행,19
169,003,기업은행,19
170,007,수협은행,1
171,007,수협은행,1
172,003,기업은행,19
173,007,수협은행,1
174,F05,오투저축은행,32
175,032,부산은행,4
176,003,기업은행,19
177,071,우체국,37
178,081,하나은행,39
179,032,부산은행,4
180,032,부산은행,4
181,032,부산은행,4
182,032,부산은행,4
183,032,부산은행,4
184,032,부산은행,4
185,032,부산은행,4
186,032,부산은행,4
187,032,부산은행,4
188,032,부산은행,4
189,032,부산은행,4
190,032,부산은행,4
191,081,하나은행,39
192,032,부산은행,4
193,081,하나은행,39
194,081,하나은행,39
195,081,하나은행,39
196,A14,신한저축은행,15
197,088,신한은행,9
198,088,신한은행,9
199,088,신한은행,9
200,088,신한은행,9
201,088,신한은행,9
202,088,신한은행,9
203,088,신한은행,9
204,088,신한은행,9
205,034,광주은행,3
206,A15,애큐온저축은행,14
207,A15,애큐온저축은행,14
208,A16,예가람저축은행,2
209,D05,드림저축은행,17
210,A16,예가람저축은행,2
211,A16,예가람저축은행,2
212,A16,예가람저축은행,2
213,A16,예가람저축은행,2
214,A16,예가람저축은행,2
215,A16,예가람저축은행,2
216,A16,예가람저축은행,2
217,034,광주은행,3
218,081,하나은행,39
219,F05,오투저축은행,32
220,081,하나은행,39
221,F05,오투저축은행,32
222,039,경남은행,5
223,032,부산은행,4
224,088,신한은행,9
225,088,신한은행,9
226,088,신한은행,9
227,A09,The-K 저축은행,11
228,034,광주은행,3
229,034,광주은행,3
230,034,광주은행,3
231,034,광주은행,3
232,034,광주은행,3
233,088,신한은행,9
234,034,광주은행,3
235,034,광주은행,3
236,034,광주은행,3
237,034,광주은행,3
238,004,국민은행,25
239,004,국민은행,25
240,004,국민은행,25
241,004,국민은행,25
242,004,국민은행,25
243,032,부산은행,4
244,032,부산은행,4
245,032,부산은행,4
246,032,부산은행,4
247,032,부산은행,4
248,032,부산은행,4
249,032,부산은행,4
250,004,국민은행,25
251,004,국민은행,25
252,007,수협은행,1
253,007,수협은행,1
254,007,수협은행,1
255,032,부산은행,4
256,007,수협은행,1
257,007,수협은행,1
258,007,수협은행,1
259,007,수협은행,1
260,007,수협은행,1
261,007,수협은행,1
262,007,수협은행,1
263,007,수협은행,1
264,039,경남은행,5
265,039,경남은행,5
266,039,경남은행,5
267,039,경남은행,5
268,011,농협은행,10
269,039,경남은행,5
270,039,경남은행,5
271,039,경남은행,5
272,039,경남은행,5
273,039,경남은행,5
274,039,경남은행,5
275,039,경남은행,5
276,039,경남은행,5
277,039,경남은행,5
278,039,경남은행,5
279,011,농협은행,10
280,039,경남은행,5
281,031,대구은행,28
282,039,경남은행,5
283,007,수협은행,1
284,032,부산은행,4
285,039,경남은행,5
286,039,경남은행,5
287,039,경남은행,5
288,039,경남은행,5
289,007,수협은행,1
290,039,경남은행,5
291,032,부산은행,4
292,039,경남은행,5
293,039,경남은행,5
294,039,경남은행,5
295,039,경남은행,5
296,039,경남은행,5
297,039,경남은행,5
298,039,경남은행,5
299,039,경남은행,5
