,gender,age_group,child_num,income_total,asset,edu_type,house_type,occyp_type,income_stability,email,work_phone,family_type,family_size,emp_years,income_per_capita,hold_period,credit,income_total_label,income_per_capita_label
0,F,30,0,202500.0,0,Higher education,Municipal apartment,Commercial associate,2,0,0,Married,2.0,12,101250.0,6.0,1.0,5,2.5
1,F,30,1,247500.0,1,Secondary / secondary special,House / apartment,Laborers,3,1,0,Civil marriage,3.0,4,82500.0,5.0,1.0,7,2.3333333333333335
2,M,50,0,450000.0,2,Higher education,House / apartment,Managers,1,0,0,Married,2.0,12,225000.0,22.0,2.0,8,4.0
3,F,40,0,202500.0,1,Secondary / secondary special,House / apartment,Sales staff,2,0,0,Married,2.0,5,101250.0,37.0,0.0,5,2.5
4,F,40,0,157500.0,2,Higher education,House / apartment,Managers,1,0,0,Married,2.0,5,78750.0,26.0,2.0,5,2.5
5,F,30,2,270000.0,1,Secondary / secondary special,House / apartment,High skill tech staff,1,1,0,Married,4.0,13,67500.0,18.0,1.0,7,1.75
6,F,40,0,315000.0,0,Secondary / secondary special,House / apartment,Core staff,1,1,0,Separated,1.0,5,315000.0,41.0,2.0,8,8.0
7,M,40,0,270000.0,1,Secondary / secondary special,House / apartment,Drivers,2,1,0,Married,2.0,14,135000.0,53.0,0.0,7,3.5
8,M,40,1,180000.0,2,Higher education,House / apartment,Commercial associate,2,1,0,Married,3.0,4,60000.0,38.0,2.0,5,1.6666666666666667
9,F,40,0,103500.0,1,Secondary / secondary special,House / apartment,Medicine staff,1,0,0,Married,2.0,3,51750.0,5.0,2.0,2,1.0
10,F,50,0,193500.0,1,Secondary / secondary special,House / apartment,Laborers,3,1,1,Separated,1.0,6,193500.0,40.0,2.0,5,5.0
11,M,30,1,135000.0,2,Higher education,House / apartment,Managers,1,0,0,Married,3.0,0,45000.0,51.0,2.0,3,1.0
12,F,30,1,157500.0,2,Secondary / secondary special,House / apartment,Accountants,1,0,0,Married,3.0,5,52500.0,60.0,0.0,5,1.6666666666666667
13,F,20,0,135000.0,0,Higher education,House / apartment,Sales staff,2,0,0,Married,2.0,6,67500.0,41.0,2.0,3,1.5
14,F,60,0,157500.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Single / not married,1.0,-1000,157500.0,41.0,2.0,5,5.0
15,M,30,2,157500.0,2,Secondary / secondary special,With parents,Drivers,2,0,0,Married,4.0,11,39375.0,60.0,0.0,5,1.25
16,M,50,0,180000.0,1,Secondary / secondary special,House / apartment,Laborers,3,0,0,Married,2.0,12,90000.0,2.0,1.0,5,2.5
17,M,20,0,270000.0,0,Secondary / secondary special,With parents,Sales staff,2,1,0,Civil marriage,2.0,2,135000.0,14.0,2.0,7,3.5
18,F,60,0,216000.0,1,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,108000.0,37.0,2.0,6,3.0
19,F,30,0,180000.0,1,Secondary / secondary special,House / apartment,Working,2,0,0,Married,2.0,16,90000.0,7.0,2.0,5,2.5
20,M,50,0,180000.0,0,Secondary / secondary special,House / apartment,Working,2,0,0,Married,2.0,4,90000.0,35.0,2.0,5,2.5
21,F,50,0,157500.0,0,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Married,2.0,-1000,78750.0,7.0,2.0,5,2.5
22,F,40,0,157500.0,0,Secondary / secondary special,House / apartment,Laborers,3,0,0,Civil marriage,2.0,3,78750.0,22.0,0.0,5,2.5
23,M,30,0,225000.0,1,Secondary / secondary special,Municipal apartment,Working,2,1,1,Married,2.0,1,112500.0,18.0,2.0,6,3.0
24,F,60,0,202500.0,0,Secondary / secondary special,House / apartment,Pensioner,1,0,0,Single / not married,1.0,-1000,202500.0,5.0,2.0,5,5.0
25,F,30,1,225000.0,1,Secondary / secondary special,House / apartment,Realty agents,2,0,0,Married,3.0,10,75000.0,4.0,2.0,6,2.0
26,M,40,1,135000.0,1,Higher education,House / apartment,Laborers,3,0,1,Married,3.0,9,45000.0,13.0,2.0,3,1.0
27,M,40,0,405000.0,2,Secondary / secondary special,House / apartment,State servant,1,0,0,Married,2.0,9,202500.0,57.0,2.0,8,4.0
28,M,60,0,112500.0,1,Secondary / secondary special,With parents,Drivers,2,0,1,Married,2.0,6,56250.0,47.0,2.0,3,1.5
29,F,30,0,121500.0,1,Secondary / secondary special,Co-op apartment,Sales staff,2,0,0,Married,2.0,4,60750.0,22.0,0.0,3,1.5
30,M,30,0,225000.0,1,Secondary / secondary special,House / apartment,Managers,1,0,0,Married,2.0,0,112500.0,33.0,2.0,6,3.0
