,gender,age_group,child_num,income_total,asset,edu_type,house_type,occyp_type,income_stability,family_type,family_size,emp_years,income_per_capita,hold_period,credit
0,F,30,0,202500.0,NN,Higher education,Municipal apartment,Commercial associate,2,Married,2.0,12,0.0,6.0,1.0
1,F,30,1,247500.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Civil marriage,3.0,4,0.3333333333333333,5.0,1.0
2,M,50,0,450000.0,YY,Higher education,House / apartment,Managers,1,Married,2.0,12,0.0,22.0,2.0
3,F,40,0,202500.0,NY,Secondary / secondary special,House / apartment,Sales staff,2,Married,2.0,5,0.0,37.0,0.0
4,F,40,0,157500.0,YY,Higher education,House / apartment,Managers,1,Married,2.0,5,0.0,26.0,2.0
5,F,30,2,270000.0,NY,Secondary / secondary special,House / apartment,High skill tech staff,1,Married,4.0,13,0.5,18.0,1.0
6,F,40,0,315000.0,NN,Secondary / secondary special,House / apartment,Core staff,1,Separated,1.0,5,0.0,41.0,2.0
7,M,40,0,270000.0,NY,Secondary / secondary special,House / apartment,Drivers,2,Married,2.0,14,0.0,53.0,0.0
8,M,40,1,180000.0,YY,Higher education,House / apartment,Commercial associate,2,Married,3.0,4,0.3333333333333333,38.0,2.0
9,F,40,0,103500.0,NY,Secondary / secondary special,House / apartment,Medicine staff,1,Married,2.0,3,0.0,5.0,2.0
10,F,50,0,193500.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Separated,1.0,6,0.0,40.0,2.0
11,M,30,1,135000.0,YY,Higher education,House / apartment,Managers,1,Married,3.0,0,0.3333333333333333,51.0,2.0
12,F,30,1,157500.0,YY,Secondary / secondary special,House / apartment,Accountants,1,Married,3.0,5,0.3333333333333333,60.0,0.0
13,F,20,0,135000.0,NN,Higher education,House / apartment,Sales staff,2,Married,2.0,6,0.0,41.0,2.0
14,F,60,0,157500.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Single / not married,1.0,-1000,0.0,41.0,2.0
15,M,30,2,157500.0,YY,Secondary / secondary special,With parents,Drivers,2,Married,4.0,11,0.5,60.0,0.0
16,M,50,0,180000.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,12,0.0,2.0,1.0
17,M,20,0,270000.0,NN,Secondary / secondary special,With parents,Sales staff,2,Civil marriage,2.0,2,0.0,14.0,2.0
18,F,60,0,216000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,37.0,2.0
19,F,30,0,180000.0,NY,Secondary / secondary special,House / apartment,Working,2,Married,2.0,16,0.0,7.0,2.0
20,M,50,0,180000.0,NN,Secondary / secondary special,House / apartment,Working,2,Married,2.0,4,0.0,35.0,2.0
21,F,50,0,157500.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,7.0,2.0
22,F,40,0,157500.0,NN,Secondary / secondary special,House / apartment,Laborers,3,Civil marriage,2.0,3,0.0,22.0,0.0
23,M,30,0,225000.0,YN,Secondary / secondary special,Municipal apartment,Working,2,Married,2.0,1,0.0,18.0,2.0
24,F,60,0,202500.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Single / not married,1.0,-1000,0.0,5.0,2.0
25,F,30,1,225000.0,NY,Secondary / secondary special,House / apartment,Realty agents,2,Married,3.0,10,0.3333333333333333,4.0,2.0
26,M,40,1,135000.0,YN,Higher education,House / apartment,Laborers,3,Married,3.0,9,0.3333333333333333,13.0,2.0
27,M,40,0,405000.0,YY,Secondary / secondary special,House / apartment,State servant,1,Married,2.0,9,0.0,57.0,2.0
28,M,60,0,112500.0,YN,Secondary / secondary special,With parents,Drivers,2,Married,2.0,6,0.0,47.0,2.0
29,F,30,0,121500.0,NY,Secondary / secondary special,Co-op apartment,Sales staff,2,Married,2.0,4,0.0,22.0,0.0
30,M,30,0,225000.0,YN,Secondary / secondary special,House / apartment,Managers,1,Married,2.0,0,0.0,33.0,2.0
31,M,30,0,135000.0,YY,Higher education,House / apartment,Laborers,3,Married,2.0,9,0.0,18.0,0.0
32,F,30,0,135000.0,NY,Higher education,House / apartment,Laborers,3,Married,2.0,4,0.0,2.0,0.0
33,M,50,0,202500.0,NY,Secondary / secondary special,House / apartment,High skill tech staff,1,Married,2.0,0,0.0,30.0,2.0
34,M,30,1,270000.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,3.0,4,0.3333333333333333,22.0,0.0
35,F,30,0,225000.0,YN,Higher education,House / apartment,Managers,1,Civil marriage,2.0,6,0.0,20.0,2.0
36,F,50,0,225000.0,YN,Higher education,House / apartment,Accountants,1,Single / not married,1.0,2,0.0,14.0,2.0
37,M,40,0,585000.0,YY,Secondary / secondary special,With parents,Drivers,2,Married,2.0,4,0.0,8.0,2.0
38,F,30,0,202500.0,NY,Secondary / secondary special,House / apartment,Sales staff,2,Married,2.0,9,0.0,41.0,2.0
39,M,30,2,112500.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,4.0,4,0.5,39.0,2.0
40,M,50,0,90900.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,6,0.0,21.0,1.0
41,F,30,2,99000.0,NY,Higher education,House / apartment,Accountants,1,Married,4.0,1,0.5,19.0,2.0
42,M,20,1,270000.0,NN,Secondary / secondary special,House / apartment,Managers,1,Married,3.0,1,0.3333333333333333,35.0,0.0
43,F,20,0,67500.0,NN,Secondary / secondary special,House / apartment,Sales staff,2,Married,2.0,5,0.0,8.0,1.0
44,M,40,0,247500.0,NN,Higher education,House / apartment,Drivers,2,Civil marriage,2.0,0,0.0,26.0,2.0
45,M,50,0,405000.0,YN,Higher education,House / apartment,High skill tech staff,1,Married,2.0,8,0.0,4.0,0.0
46,F,50,0,135000.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Widow,1.0,-1000,0.0,24.0,2.0
47,F,50,0,292500.0,YY,Higher education,House / apartment,Sales staff,2,Married,2.0,9,0.0,48.0,2.0
48,F,60,0,99000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,4.0,2.0
49,F,50,0,585000.0,NY,Secondary / secondary special,House / apartment,Commercial associate,2,Married,2.0,5,0.0,12.0,2.0
50,F,30,1,90000.0,YN,Secondary / secondary special,House / apartment,Sales staff,2,Married,3.0,3,0.3333333333333333,4.0,2.0
51,M,20,0,495000.0,YY,Incomplete higher,With parents,Drivers,2,Married,2.0,3,0.0,10.0,2.0
52,F,60,0,54000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,37.0,2.0
53,F,30,2,306000.0,YY,Higher education,House / apartment,Core staff,1,Married,4.0,10,0.5,42.0,2.0
54,F,40,1,99000.0,NN,Secondary / secondary special,House / apartment,Working,2,Married,3.0,1,0.3333333333333333,2.0,1.0
55,F,30,0,180000.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,8,0.0,24.0,2.0
56,F,40,0,130500.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,25,0.0,29.0,2.0
57,F,40,0,225000.0,NY,Higher education,House / apartment,Core staff,1,Single / not married,1.0,1,0.0,3.0,1.0
58,F,60,0,144000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,23.0,2.0
59,F,60,0,360000.0,NY,Higher education,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,25.0,2.0
60,M,50,0,112500.0,YY,Secondary / secondary special,House / apartment,Pensioner,1,Separated,1.0,-1000,0.0,1.0,1.0
61,M,30,1,270000.0,YN,Higher education,House / apartment,Managers,1,Married,3.0,3,0.3333333333333333,15.0,2.0
62,F,40,0,225000.0,YY,Higher education,House / apartment,Core staff,1,Married,2.0,8,0.0,40.0,1.0
63,M,40,0,315000.0,YY,Higher education,House / apartment,Managers,1,Married,2.0,9,0.0,21.0,2.0
64,M,20,0,67500.0,YN,Secondary / secondary special,Municipal apartment,Security staff,2,Single / not married,1.0,1,0.0,32.0,2.0
65,F,30,0,40500.0,NY,Secondary / secondary special,House / apartment,Cleaning staff,3,Married,2.0,13,0.0,10.0,2.0
66,M,30,1,144000.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Married,3.0,7,0.3333333333333333,4.0,1.0
67,F,30,2,157500.0,NY,Higher education,House / apartment,High skill tech staff,1,Married,4.0,3,0.5,2.0,1.0
68,F,20,0,180000.0,NN,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,4,0.0,14.0,1.0
69,F,40,0,157500.0,NY,Higher education,House / apartment,Medicine staff,1,Married,2.0,8,0.0,59.0,2.0
70,M,20,0,81000.0,NY,Higher education,House / apartment,Laborers,3,Single / not married,1.0,5,0.0,39.0,2.0
71,M,40,2,202500.0,YN,Secondary / secondary special,House / apartment,Laborers,3,Married,4.0,10,0.5,54.0,2.0
72,F,50,0,351000.0,NN,Higher education,House / apartment,Commercial associate,2,Married,2.0,2,0.0,4.0,2.0
73,F,60,0,180000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,34.0,2.0
74,F,20,1,67500.0,NY,Secondary / secondary special,House / apartment,Sales staff,2,Married,3.0,0,0.3333333333333333,25.0,2.0
75,F,40,0,315000.0,YY,Secondary / secondary special,House / apartment,Core staff,1,Married,2.0,15,0.0,34.0,2.0
76,F,30,0,315000.0,YN,Higher education,House / apartment,Commercial associate,2,Married,2.0,1,0.0,15.0,2.0
77,F,20,0,135000.0,NN,Higher education,House / apartment,Core staff,1,Single / not married,1.0,1,0.0,7.0,1.0
78,F,30,0,112500.0,YY,Secondary / secondary special,House / apartment,Sales staff,2,Married,2.0,0,0.0,23.0,1.0
79,F,40,1,225000.0,YY,Higher education,House / apartment,Core staff,1,Separated,2.0,4,0.5,2.0,0.0
80,F,40,0,247500.0,NY,Secondary / secondary special,House / apartment,Laborers,3,Civil marriage,2.0,0,0.0,2.0,1.0
81,M,20,0,135000.0,YY,Secondary / secondary special,House / apartment,Sales staff,2,Married,2.0,2,0.0,-0.0,0.0
82,F,40,0,216000.0,YY,Higher education,House / apartment,Accountants,1,Civil marriage,2.0,3,0.0,53.0,2.0
83,F,30,2,180000.0,NN,Higher education,House / apartment,High skill tech staff,1,Married,4.0,4,0.5,38.0,1.0
84,M,60,0,135000.0,YY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,27.0,2.0
85,M,40,0,184500.0,YN,Secondary / secondary special,Municipal apartment,Laborers,3,Married,2.0,3,0.0,41.0,1.0
86,M,30,1,112500.0,YY,Secondary / secondary special,House / apartment,Drivers,2,Married,3.0,1,0.3333333333333333,45.0,2.0
87,F,30,0,270000.0,NY,Secondary / secondary special,House / apartment,Core staff,1,Widow,1.0,0,0.0,56.0,2.0
88,F,50,0,360000.0,YY,Secondary / secondary special,House / apartment,Managers,1,Married,2.0,14,0.0,45.0,2.0
89,M,30,0,450000.0,NN,Incomplete higher,House / apartment,Managers,1,Married,2.0,11,0.0,59.0,2.0
90,F,50,0,45000.0,NY,Secondary / secondary special,House / apartment,Cleaning staff,3,Married,2.0,25,0.0,30.0,2.0
91,F,50,0,202500.0,YY,Secondary / secondary special,House / apartment,Private service staff,2,Married,2.0,8,0.0,20.0,2.0
92,M,30,1,135000.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,3.0,1,0.3333333333333333,5.0,2.0
93,F,50,0,202500.0,NY,Secondary / secondary special,House / apartment,High skill tech staff,1,Single / not married,1.0,9,0.0,22.0,1.0
94,F,60,0,180000.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,26.0,2.0
95,M,40,0,79650.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,14.0,2.0
96,M,60,0,450000.0,NY,Secondary / secondary special,House / apartment,Security staff,2,Married,2.0,5,0.0,56.0,2.0
97,M,20,0,157500.0,YY,Secondary / secondary special,House / apartment,Drivers,2,Civil marriage,2.0,3,0.0,46.0,2.0
98,M,20,0,450000.0,YY,Higher education,House / apartment,Sales staff,2,Single / not married,1.0,1,0.0,5.0,2.0
99,F,50,0,270000.0,NN,Secondary / secondary special,House / apartment,Medicine staff,1,Separated,1.0,33,0.0,35.0,2.0
100,F,60,0,135000.0,NY,Higher education,House / apartment,Private service staff,2,Married,2.0,23,0.0,9.0,2.0
101,F,50,0,81000.0,NY,Secondary / secondary special,House / apartment,Managers,1,Married,2.0,8,0.0,2.0,1.0
102,F,30,1,135000.0,NN,Secondary / secondary special,House / apartment,Managers,1,Married,3.0,1,0.3333333333333333,12.0,2.0
103,M,40,0,315000.0,YN,Higher education,House / apartment,Managers,1,Married,2.0,10,0.0,12.0,2.0
104,M,40,0,225000.0,YY,Higher education,House / apartment,Sales staff,2,Single / not married,1.0,6,0.0,7.0,0.0
105,M,20,0,135000.0,YY,Secondary / secondary special,House / apartment,Laborers,3,Married,2.0,7,0.0,5.0,2.0
106,F,40,1,90000.0,NN,Secondary / secondary special,House / apartment,Working,2,Married,3.0,5,0.3333333333333333,47.0,2.0
107,F,20,1,306000.0,YN,Higher education,House / apartment,Working,2,Married,3.0,4,0.3333333333333333,4.0,1.0
108,F,20,0,153000.0,NY,Higher education,House / apartment,Core staff,1,Single / not married,1.0,1,0.0,22.0,2.0
109,F,60,0,126000.0,NY,Secondary / secondary special,House / apartment,High skill tech staff,1,Married,2.0,6,0.0,13.0,2.0
110,M,30,0,315000.0,YY,Higher education,House / apartment,Managers,1,Married,2.0,0,0.0,57.0,2.0
111,M,40,1,225000.0,YY,Secondary / secondary special,House / apartment,Drivers,2,Married,3.0,6,0.3333333333333333,44.0,2.0
112,F,40,0,193500.0,NN,Secondary / secondary special,House / apartment,Laborers,3,Single / not married,1.0,0,0.0,4.0,2.0
113,F,40,2,90000.0,NY,Secondary / secondary special,House / apartment,Cooking staff,2,Married,4.0,3,0.5,36.0,1.0
114,M,30,2,135000.0,YY,Higher education,House / apartment,Managers,1,Married,4.0,8,0.5,43.0,2.0
115,F,50,0,81000.0,NN,Secondary / secondary special,House / apartment,Pensioner,1,Married,2.0,-1000,0.0,49.0,2.0
116,F,30,1,382500.0,YY,Secondary / secondary special,House / apartment,Managers,1,Married,3.0,7,0.3333333333333333,11.0,2.0
117,F,40,0,202500.0,NY,Secondary / secondary special,House / apartment,Sales staff,2,Married,2.0,1,0.0,27.0,2.0
118,F,50,0,112500.0,NY,Higher education,House / apartment,Sales staff,2,Married,2.0,15,0.0,47.0,2.0
119,F,30,2,144000.0,NY,Secondary / secondary special,House / apartment,Cooking staff,2,Married,4.0,5,0.5,-0.0,1.0
120,F,50,0,157500.0,NY,Secondary / secondary special,House / apartment,Pensioner,1,Widow,1.0,-1000,0.0,4.0,1.0
121,F,40,0,144000.0,NN,Secondary / secondary special,Municipal apartment,Sales staff,2,Married,2.0,27,0.0,35.0,2.0
