,gender,age_group,child_num,income_total,asset,edu_type,house_type,occyp_type,income_stability,email,work_phone,family_type,family_size,emp_years,income_per_capita,hold_period,credit,income_total_label,income_per_capita_label
0,0,30,0,202500.0,0,0,0,0,2,0,0,0,2.0,12,101250.0,6.0,1.0,5,2.5
1,0,30,1,247500.0,1,1,1,1,3,1,0,1,3.0,4,82500.0,5.0,1.0,7,2.3333333333333335
2,1,50,0,450000.0,2,0,1,2,1,0,0,0,2.0,12,225000.0,22.0,2.0,8,4.0
3,0,40,0,202500.0,1,1,1,3,2,0,0,0,2.0,5,101250.0,37.0,0.0,5,2.5
4,0,40,0,157500.0,2,0,1,2,1,0,0,0,2.0,5,78750.0,26.0,2.0,5,2.5
5,0,30,2,270000.0,1,1,1,4,1,1,0,0,4.0,13,67500.0,18.0,1.0,7,1.75
6,0,40,0,315000.0,0,1,1,5,1,1,0,2,1.0,5,315000.0,41.0,2.0,8,8.0
7,1,40,0,270000.0,1,1,1,6,2,1,0,0,2.0,14,135000.0,53.0,0.0,7,3.5
8,1,40,1,180000.0,2,0,1,0,2,1,0,0,3.0,4,60000.0,38.0,2.0,5,1.6666666666666667
9,0,40,0,103500.0,1,1,1,7,1,0,0,0,2.0,3,51750.0,5.0,2.0,2,1.0
10,0,50,0,193500.0,1,1,1,1,3,1,1,2,1.0,6,193500.0,40.0,2.0,5,5.0
11,1,30,1,135000.0,2,0,1,2,1,0,0,0,3.0,0,45000.0,51.0,2.0,3,1.0
12,0,30,1,157500.0,2,1,1,8,1,0,0,0,3.0,5,52500.0,60.0,0.0,5,1.6666666666666667
13,0,20,0,135000.0,0,0,1,3,2,0,0,0,2.0,6,67500.0,41.0,2.0,3,1.5
14,0,60,0,157500.0,1,1,1,9,1,0,0,3,1.0,-1000,157500.0,41.0,2.0,5,5.0
15,1,30,2,157500.0,2,1,2,6,2,0,0,0,4.0,11,39375.0,60.0,0.0,5,1.25
16,1,50,0,180000.0,1,1,1,1,3,0,0,0,2.0,12,90000.0,2.0,1.0,5,2.5
17,1,20,0,270000.0,0,1,2,3,2,1,0,1,2.0,2,135000.0,14.0,2.0,7,3.5
18,0,60,0,216000.0,1,1,1,9,1,0,0,0,2.0,-1000,108000.0,37.0,2.0,6,3.0
19,0,30,0,180000.0,1,1,1,10,2,0,0,0,2.0,16,90000.0,7.0,2.0,5,2.5
20,1,50,0,180000.0,0,1,1,10,2,0,0,0,2.0,4,90000.0,35.0,2.0,5,2.5
21,0,50,0,157500.0,0,1,1,9,1,0,0,0,2.0,-1000,78750.0,7.0,2.0,5,2.5
22,0,40,0,157500.0,0,1,1,1,3,0,0,1,2.0,3,78750.0,22.0,0.0,5,2.5
23,1,30,0,225000.0,1,1,0,10,2,1,1,0,2.0,1,112500.0,18.0,2.0,6,3.0
24,0,60,0,202500.0,0,1,1,9,1,0,0,3,1.0,-1000,202500.0,5.0,2.0,5,5.0
25,0,30,1,225000.0,1,1,1,11,2,0,0,0,3.0,10,75000.0,4.0,2.0,6,2.0
26,1,40,1,135000.0,1,0,1,1,3,0,1,0,3.0,9,45000.0,13.0,2.0,3,1.0
27,1,40,0,405000.0,2,1,1,12,1,0,0,0,2.0,9,202500.0,57.0,2.0,8,4.0
28,1,60,0,112500.0,1,1,2,6,2,0,1,0,2.0,6,56250.0,47.0,2.0,3,1.5
29,0,30,0,121500.0,1,1,3,3,2,0,0,0,2.0,4,60750.0,22.0,0.0,3,1.5
30,1,30,0,225000.0,1,1,1,2,1,0,0,0,2.0,0,112500.0,33.0,2.0,6,3.0
31,1,30,0,135000.0,2,0,1,1,3,1,1,0,2.0,9,67500.0,18.0,0.0,3,1.5
32,0,30,0,135000.0,1,0,1,1,3,0,0,0,2.0,4,67500.0,2.0,0.0,3,1.5
33,1,50,0,202500.0,1,1,1,4,1,0,0,0,2.0,0,101250.0,30.0,2.0,5,2.5
34,1,30,1,270000.0,2,1,1,1,3,0,0,0,3.0,4,90000.0,22.0,0.0,7,2.3333333333333335
35,0,30,0,225000.0,1,0,1,2,1,0,0,1,2.0,6,112500.0,20.0,2.0,6,3.0
36,0,50,0,225000.0,1,0,1,8,1,0,1,3,1.0,2,225000.0,14.0,2.0,6,6.0
37,1,40,0,585000.0,2,1,2,6,2,0,0,0,2.0,4,292500.0,8.0,2.0,10,5.0
38,0,30,0,202500.0,1,1,1,3,2,0,0,0,2.0,9,101250.0,41.0,2.0,5,2.5
39,1,30,2,112500.0,2,1,1,1,3,0,0,0,4.0,4,28125.0,39.0,2.0,3,0.75
40,1,50,0,90900.0,2,1,1,1,3,0,0,0,2.0,6,45450.0,21.0,1.0,2,1.0
41,0,30,2,99000.0,1,0,1,8,1,0,0,0,4.0,1,24750.0,19.0,2.0,2,0.5
42,1,20,1,270000.0,0,1,1,2,1,0,1,0,3.0,1,90000.0,35.0,0.0,7,2.3333333333333335
43,0,20,0,67500.0,0,1,1,3,2,0,0,0,2.0,5,33750.0,8.0,1.0,1,0.5
